ticker,company,gics_sector
BKR,Baker Hughes,Energy
ECL,Ecolab,Materials
IP,International Paper,Materials
DOW,Dow Inc.,Materials
PSX,Phillips 66,Energy
RL,Ralph Lauren Corporation,Consumer Discretionary
XYL,Xylem Inc.,Industrials
VLO,Valero Energy,Energy
LOW,Lowe's,Consumer Discretionary
FANG,Diamondback Energy,Energy
WMB,Williams Companies,Energy
DAL,Delta Air Lines,Industrials
TXT,Textron,Industrials
USB,U.S. Bancorp,Financials
AES,AES Corporation,Utilities
MKC,McCormick & Company,Consumer Staples
WFC,Wells Fargo,Financials
REG,Regency Centers,Real Estate
DHR,Danaher Corporation,Health Care
SYY,Sysco,Consumer Staples
SJM,J.M. Smucker Company (The),Consumer Staples
FCX,Freeport-McMoRan,Materials
PWR,Quanta Services,Industrials
OMC,Omnicom Group,Communication Services
AMAT,Applied Materials,Information Technology
AEP,American Electric Power,Utilities
VMC,Vulcan Materials Company,Materials
CMG,Chipotle Mexican Grill,Consumer Discretionary
PEG,Public Service Enterprise Group,Utilities
SNA,Snap-on,Industrials
SLB,Schlumberger,Energy
ED,Consolidated Edison,Utilities
AMCR,Amcor,Materials
WTW,Willis Towers Watson,Financials
CAT,Caterpillar Inc.,Industrials
AMT,American Tower,Real Estate
OKE,Oneok,Energy
CNP,CenterPoint Energy,Utilities
LHX,L3Harris,Industrials
GOOG,Alphabet Inc. (Class C),Communication Services
CHRW,C.H. Robinson,Industrials
MTD,Mettler Toledo,Health Care
FDX,FedEx,Industrials
CCI,Crown Castle,Real Estate
IBKR,Interactive Brokers,Financials
SPG,Simon Property Group,Real Estate
ODFL,Old Dominion,Industrials
ZTS,Zoetis,Health Care
WAB,Wabtec,Industrials
EMR,Emerson Electric,Industrials
DG,Dollar General,Consumer Staples
KO,Coca-Cola Company (The),Consumer Staples
EXC,Exelon,Utilities
NOC,Northrop Grumman,Industrials
ADSK,Autodesk,Information Technology
VMRK,Vivmark Residential,Real Estate
CARR,Carrier Global,Industrials
TSCO,Tractor Supply,Consumer Discretionary
AJG,Arthur J. Gallagher & Co.,Financials
MRK,Merck & Co.,Health Care
DRI,Darden Restaurants,Consumer Discretionary
TT,Trane Technologies,Industrials
MPC,Marathon Petroleum,Energy
MSI,Motorola Solutions,Information Technology
AON,Aon plc,Financials
AEE,Ameren,Utilities
COP,ConocoPhillips,Energy
PKG,Packaging Corporation of America,Materials
JCI,Johnson Controls,Industrials
ADM,Archer Daniels Midland,Consumer Staples
PTC,PTC Inc.,Information Technology
GILD,Gilead Sciences,Health Care
NVR,"NVR, Inc.",Consumer Discretionary
PCG,PG&E Corporation,Utilities
DXCM,Dexcom,Health Care
EQIX,Equinix,Real Estate
NEM,Newmont,Materials
DOC,Healthpeak Properties,Real Estate
AMD,Advanced Micro Devices,Information Technology
EQT,EQT Corporation,Energy
SW,Smurfit Westrock,Materials
ETR,Entergy,Utilities
NDAQ,"Nasdaq, Inc.",Financials
MPWR,Monolithic Power Systems,Information Technology
EOG,EOG Resources,Energy
CBRE,CBRE Group,Real Estate
RTX,RTX Corporation,Industrials
ALB,Albemarle Corporation,Materials
HAL,Halliburton,Energy
FTNT,Fortinet,Information Technology
WM,Waste Management,Industrials
JBHT,J.B. Hunt,Industrials
SO,Southern Company,Utilities
MNST,Monster Beverage,Consumer Staples
DVN,Devon Energy,Energy
BSX,Boston Scientific,Health Care
UDR,"UDR, Inc.",Real Estate
TAP,Molson Coors Beverage Company,Consumer Staples
TPR,"Tapestry, Inc.",Consumer Discretionary
KMB,Kimberly-Clark,Consumer Staples
TRMB,Trimble Inc.,Information Technology
LYB,LyondellBasell,Materials
CEG,Constellation Energy,Utilities
CRH,CRH plc,Materials
CCL,Carnival Corporation,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
KIM,Kimco Realty,Real Estate
ORCL,Oracle Corporation,Information Technology
