"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"LYB","LyondellBasell","Materials","21","25.30","25.30","25.30","3","3","0","80","20.6","31","https://www.worldbenchmarkingalliance.org/company/lyondellbasell"
"GLW","Corning Inc.","Information Technology","22","24.93","24.93","24.93","3","3","0","60","","43.1","https://www.worldbenchmarkingalliance.org/company/corning"
"DOW","Dow Inc.","Materials","23","24.88","24.88","24.88","3","3","0","80","25.9","29.6","https://www.worldbenchmarkingalliance.org/company/dow"
"KHC","Kraft Heinz","Consumer Staples","24","24.63","24.63","24.63","3","3","0","60","19.9","42.1","https://www.worldbenchmarkingalliance.org/company/kraft-heinz"
"AMZN","Amazon","Consumer Discretionary","25","24.51","24.51","24.51","3","3","0","60","","41.7","https://www.worldbenchmarkingalliance.org/company/amazon"
"KR","Kroger","Consumer Staples","26","24.11","24.11","24.11","3","3","0","40","25.3","53.7","https://www.worldbenchmarkingalliance.org/company/kroger"
"QCOM","Qualcomm","Information Technology","27","23.94","23.94","23.94","3","3","0","60","","39.8","https://www.worldbenchmarkingalliance.org/company/qualcomm"
"FSLR","First Solar","Information Technology","28","23.67","23.67","23.67","3","3","0","60","","38.9","https://www.worldbenchmarkingalliance.org/company/first-solar"
"FDX","FedEx","Industrials","29","23.50","23.50","23.50","3","3","0","80","","25","https://www.worldbenchmarkingalliance.org/company/fedex"
"BALL","Ball Corporation","Materials","30","23.40","23.40","23.40","3","3","0","60","19.7","38","https://www.worldbenchmarkingalliance.org/company/ball-corporation"
"MCD","McDonald's","Consumer Discretionary","31","23.25","23.25","23.25","3","3","0","60","16.3","37.5","https://www.worldbenchmarkingalliance.org/company/mcdonalds"
"GM","General Motors","Consumer Discretionary","32","23.23","23.23","23.23","3","3","0","80","","24.1","https://www.worldbenchmarkingalliance.org/company/general-motors"
"AMCR","Amcor","Materials","33","22.98","22.98","22.98","3","3","0","60","20.6","36.6","https://www.worldbenchmarkingalliance.org/company/amcor"
"KMB","Kimberly-Clark","Consumer Staples","34","22.56","22.56","22.56","3","3","0","60","22","35.2","https://www.worldbenchmarkingalliance.org/company/kimberly-clark"
"BMY","Bristol Myers Squibb","Health Care","35","22.54","22.54","22.54","3","3","0","80","16","21.8","https://www.worldbenchmarkingalliance.org/company/bristol-myers-squibb"
"WM","Waste Management","Industrials","36","22.41","22.41","22.41","3","3","0","60","","34.7","https://www.worldbenchmarkingalliance.org/company/waste-management-inc"
"EQIX","Equinix","Real Estate","37","22.14","22.14","22.14","3","3","0","60","","33.8","https://www.worldbenchmarkingalliance.org/company/equinix"
"CL","Colgate-Palmolive","Consumer Staples","38","22.12","22.12","22.12","3","3","0","80","19.5","20.4","https://www.worldbenchmarkingalliance.org/company/colgate-palmolive"
"EQT","EQT Corporation","Energy","39","21.87","21.87","21.87","3","3","0","60","","32.9","https://www.worldbenchmarkingalliance.org/company/eqt"
"BAX","Baxter International","Health Care","40","21.85","21.85","21.85","3","3","0","80","18.7","19.5","https://www.worldbenchmarkingalliance.org/company/baxter-international"
"BAC","Bank of America","Financials","41","21.72","21.72","21.72","3","3","0","60","","32.4","https://www.worldbenchmarkingalliance.org/company/bank-america"
"DUK","Duke Energy","Utilities","41","21.72","21.72","21.72","3","3","0","60","","32.4","https://www.worldbenchmarkingalliance.org/company/duke-energy"
"LOW","Lowe's","Consumer Discretionary","43","21.45","21.45","21.45","3","3","0","60","","31.5","https://www.worldbenchmarkingalliance.org/company/lowes"
"CLX","Clorox","Consumer Staples","44","21.30","21.30","21.30","3","3","0","60","17.5","31","https://www.worldbenchmarkingalliance.org/company/clorox-company"
"CTSH","Cognizant","Information Technology","44","21.30","21.30","21.30","3","3","0","60","","31","https://www.worldbenchmarkingalliance.org/company/cognizant"
"COST","Costco","Consumer Staples","46","21.28","21.28","21.28","3","3","0","80","10.4","17.6","https://www.worldbenchmarkingalliance.org/company/costco"
"ALB","Albemarle Corporation","Materials","47","21.20","21.20","21.20","3","3","0","40","23.8","44","https://www.worldbenchmarkingalliance.org/company/albemarle-corporation"
"STLD","Steel Dynamics","Materials","48","21.18","21.18","21.18","3","3","0","60","13.2","30.6","https://www.worldbenchmarkingalliance.org/company/steel-dynamics"
"DIS","Walt Disney Company (The)","Communication Services","48","21.18","21.18","21.18","3","3","0","60","","30.6","https://www.worldbenchmarkingalliance.org/company/walt-disney"
"WDC","Western Digital","Information Technology","48","21.18","21.18","21.18","3","3","0","60","","30.6","https://www.worldbenchmarkingalliance.org/company/western-digital"
"BKNG","Booking Holdings","Consumer Discretionary","51","21.03","21.03","21.03","3","3","0","60","","30.1","https://www.worldbenchmarkingalliance.org/company/booking-holdings"
"LRCX","Lam Research","Information Technology","52","20.76","20.76","20.76","3","3","0","60","","29.2","https://www.worldbenchmarkingalliance.org/company/lam-research"
"TAP","Molson Coors Beverage Company","Consumer Staples","52","20.76","20.76","20.76","3","3","0","60","14.8","29.2","https://www.worldbenchmarkingalliance.org/company/molson-coors"
"XYL","Xylem Inc.","Industrials","54","20.61","20.61","20.61","3","3","0","60","","28.7","https://www.worldbenchmarkingalliance.org/company/xylem"
"ORCL","Oracle Corporation","Information Technology","55","20.49","20.49","20.49","3","3","0","60","","28.3","https://www.worldbenchmarkingalliance.org/company/oracle"
"PCG","PG&E Corporation","Utilities","56","20.19","20.19","20.19","3","3","0","60","","27.3","https://www.worldbenchmarkingalliance.org/company/pge"
"VST","Vistra Corp.","Utilities","56","20.19","20.19","20.19","3","3","0","60","","27.3","https://www.worldbenchmarkingalliance.org/company/vistra"
"IP","International Paper","Materials","58","20.07","20.07","20.07","3","3","0","60","34.5","26.9","https://www.worldbenchmarkingalliance.org/company/international-paper"
"MS","Morgan Stanley","Financials","58","20.07","20.07","20.07","3","3","0","60","","26.9","https://www.worldbenchmarkingalliance.org/company/morgan-stanley"
"TJX","TJX Companies","Consumer Discretionary","58","20.07","20.07","20.07","3","3","0","60","12.2","26.9","https://www.worldbenchmarkingalliance.org/company/tjx-companies"
"AAPL","Apple Inc.","Information Technology","61","19.94","19.94","19.94","3","3","0","40","","39.8","https://www.worldbenchmarkingalliance.org/company/apple"
"SYY","Sysco","Consumer Staples","61","19.94","19.94","19.94","3","3","0","40","15.3","39.8","https://www.worldbenchmarkingalliance.org/company/sysco"
"MRNA","Moderna","Health Care","63","19.92","19.92","19.92","3","3","0","60","13.4","26.4","https://www.worldbenchmarkingalliance.org/company/moderna"
"PCAR","Paccar","Industrials","63","19.92","19.92","19.92","3","3","0","60","","26.4","https://www.worldbenchmarkingalliance.org/company/paccar"
"PEP","PepsiCo","Consumer Staples","63","19.92","19.92","19.92","3","3","0","60","15.7","26.4","https://www.worldbenchmarkingalliance.org/company/pepsico"
"BLK","BlackRock","Financials","66","19.77","19.77","19.77","3","3","0","60","","25.9","https://www.worldbenchmarkingalliance.org/company/blackrock"
"MPC","Marathon Petroleum","Energy","67","19.67","19.67","19.67","3","3","0","40","","38.9","https://www.worldbenchmarkingalliance.org/company/marathon-petroleum"
"AXP","American Express","Financials","68","19.65","19.65","19.65","3","3","0","60","","25.5","https://www.worldbenchmarkingalliance.org/company/american-express"
"RSG","Republic Services","Industrials","69","19.50","19.50","19.50","3","3","0","60","","25","https://www.worldbenchmarkingalliance.org/company/republic-services"
"MOS","Mosaic Company (The)","Materials","70","19.10","19.10","19.10","3","3","0","40","22","37","https://www.worldbenchmarkingalliance.org/company/mosaic"
"INTC","Intel","Information Technology","71","19.08","19.08","19.08","3","3","0","60","","23.6","https://www.worldbenchmarkingalliance.org/company/intel"
"CVX","Chevron Corporation","Energy","72","18.83","18.83","18.83","3","3","0","40","","36.1","https://www.worldbenchmarkingalliance.org/company/chevron"
"GILD","Gilead Sciences","Health Care","73","18.81","18.81","18.81","3","3","0","60","15","22.7","https://www.worldbenchmarkingalliance.org/company/gilead-sciences"
"NUE","Nucor","Materials","73","18.81","18.81","18.81","3","3","0","60","13.5","22.7","https://www.worldbenchmarkingalliance.org/company/nucor"
"PLD","Prologis","Real Estate","73","18.81","18.81","18.81","3","3","0","60","","22.7","https://www.worldbenchmarkingalliance.org/company/prologis"
"MKC","McCormick & Company","Consumer Staples","76","18.66","18.66","18.66","3","3","0","60","21.1","22.2","https://www.worldbenchmarkingalliance.org/company/mccormick"
"CF","CF Industries","Materials","77","18.56","18.56","18.56","3","3","0","40","25.6","35.2","https://www.worldbenchmarkingalliance.org/company/cf-industries"
"CBRE","CBRE Group","Real Estate","78","18.54","18.54","18.54","3","3","0","60","","21.8","https://www.worldbenchmarkingalliance.org/company/cbre-group"
"MLM","Martin Marietta Materials","Materials","78","18.54","18.54","18.54","3","3","0","60","12.5","21.8","https://www.worldbenchmarkingalliance.org/company/martin-marietta"
"NTAP","NetApp","Information Technology","78","18.54","18.54","18.54","3","3","0","60","","21.8","https://www.worldbenchmarkingalliance.org/company/netapp"
"SW","Smurfit Westrock","Materials","78","18.54","18.54","18.54","3","3","0","60","16.6","21.8","https://www.worldbenchmarkingalliance.org/company/smurfit-westrock"
"WMT","Walmart","Consumer Staples","82","18.39","18.39","18.39","3","3","0","60","13.4","21.3","https://www.worldbenchmarkingalliance.org/company/walmart"
"AES","AES Corporation","Utilities","83","18.29","18.29","18.29","3","3","0","40","","34.3","https://www.worldbenchmarkingalliance.org/company/aes"
"COP","ConocoPhillips","Energy","83","18.29","18.29","18.29","3","3","0","40","","34.3","https://www.worldbenchmarkingalliance.org/company/conocophillips"
"EL","Estée Lauder Companies (The)","Consumer Staples","83","18.29","18.29","18.29","3","3","0","40","22.1","34.3","https://www.worldbenchmarkingalliance.org/company/estee-lauder-companies"
"JPM","JPMorgan Chase","Financials","86","18.24","18.24","18.24","3","3","0","60","","20.8","https://www.worldbenchmarkingalliance.org/company/jp-morgan-chase"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","87","17.97","17.97","17.97","3","3","0","60","15.4","19.9","https://www.worldbenchmarkingalliance.org/company/norwegian-cruise-line-holdings"
"NKE","Nike, Inc.","Consumer Discretionary","88","17.87","17.87","17.87","3","3","0","40","15.3","32.9","https://www.worldbenchmarkingalliance.org/company/nike"
"ADBE","Adobe Inc.","Information Technology","89","17.82","17.82","17.82","3","3","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/adobe"
"C","Citigroup","Financials","89","17.82","17.82","17.82","3","3","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/citigroup"
"LUV","Southwest Airlines","Industrials","89","17.82","17.82","17.82","3","3","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/southwest-airlines"
"KDP","Keurig Dr Pepper","Consumer Staples","92","17.70","17.70","17.70","3","3","0","60","24.6","19","https://www.worldbenchmarkingalliance.org/company/keurig-dr-pepper"
"ABBV","AbbVie","Health Care","93","17.45","17.45","17.45","3","3","0","40","16.7","31.5","https://www.worldbenchmarkingalliance.org/company/abbvie"
"PYPL","PayPal","Financials","93","17.45","17.45","17.45","3","3","0","40","","31.5","https://www.worldbenchmarkingalliance.org/company/paypal"
"CVS","CVS Health","Health Care","95","17.43","17.43","17.43","3","3","0","60","","18.1","https://www.worldbenchmarkingalliance.org/company/cvs-health"
"V","Visa Inc.","Financials","95","17.43","17.43","17.43","3","3","0","60","","18.1","https://www.worldbenchmarkingalliance.org/company/visa"
"AVY","Avery Dennison","Materials","97","17.30","17.30","17.30","3","3","0","40","19.7","31","https://www.worldbenchmarkingalliance.org/company/avery-dennison-corporation"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","98","17.28","17.28","17.28","3","3","0","60","16.4","17.6","https://www.worldbenchmarkingalliance.org/company/chipotle-mexican-grill"
"SBUX","Starbucks","Consumer Discretionary","99","17.18","17.18","17.18","3","3","0","40","18.4","30.6","https://www.worldbenchmarkingalliance.org/company/starbucks"
"AMAT","Applied Materials","Information Technology","100","17.13","17.13","17.13","3","3","0","60","","17.1","https://www.worldbenchmarkingalliance.org/company/applied-materials"
"HRL","Hormel Foods","Consumer Staples","101","17.03","17.03","17.03","3","3","0","40","17.9","30.1","https://www.worldbenchmarkingalliance.org/company/hormel-foods"
"NVDA","Nvidia","Information Technology","101","17.03","17.03","17.03","3","3","0","40","","30.1","https://www.worldbenchmarkingalliance.org/company/nvidia"
"APH","Amphenol","Information Technology","103","16.91","16.91","16.91","3","3","0","40","","29.7","https://www.worldbenchmarkingalliance.org/company/amphenol"
"NEE","NextEra Energy","Utilities","104","16.86","16.86","16.86","3","3","0","60","","16.2","https://www.worldbenchmarkingalliance.org/company/nextera-energy"
"SHW","Sherwin-Williams","Materials","105","16.76","16.76","16.76","3","3","0","40","21.7","29.2","https://www.worldbenchmarkingalliance.org/company/sherwin-williams"
"NOW","ServiceNow","Information Technology","106","16.71","16.71","16.71","3","3","0","60","","15.7","https://www.worldbenchmarkingalliance.org/company/servicenow"
"UAL","United Airlines Holdings","Industrials","107","16.59","16.59","16.59","3","3","0","60","","15.3","https://www.worldbenchmarkingalliance.org/company/united-airlines-holdings"
"MCHP","Microchip Technology","Information Technology","108","16.57","16.57","16.57","3","3","0","80","","1.9","https://www.worldbenchmarkingalliance.org/company/microchip-technology"
"CRM","Salesforce","Information Technology","109","16.49","16.49","16.49","3","3","0","40","","28.3","https://www.worldbenchmarkingalliance.org/company/salesforce"
"ACN","Accenture","Information Technology","110","16.46","16.46","16.46","3","3","0","40","","28.2","https://www.worldbenchmarkingalliance.org/company/accenture"
"CCL","Carnival Corporation","Consumer Discretionary","111","16.34","16.34","16.34","3","3","0","40","16","27.8","https://www.worldbenchmarkingalliance.org/company/carnival-corporation"
"KO","Coca-Cola Company (The)","Consumer Staples","111","16.34","16.34","16.34","3","3","0","40","10.1","27.8","https://www.worldbenchmarkingalliance.org/company/coca-cola-company"
"DAL","Delta Air Lines","Industrials","113","16.32","16.32","16.32","3","3","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/delta-air-lines"
"BEN","Franklin Resources","Financials","113","16.32","16.32","16.32","3","3","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/franklin-resources"
"HD","Home Depot (The)","Consumer Discretionary","113","16.32","16.32","16.32","3","3","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/home-depot"
"TXN","Texas Instruments","Information Technology","116","16.19","16.19","16.19","3","3","0","40","","27.3","https://www.worldbenchmarkingalliance.org/company/texas-instruments"
"AMGN","Amgen","Health Care","117","16.17","16.17","16.17","3","3","0","60","14.9","13.9","https://www.worldbenchmarkingalliance.org/company/amgen"
"VLO","Valero Energy","Energy","118","16.07","16.07","16.07","3","3","0","40","","26.9","https://www.worldbenchmarkingalliance.org/company/valero-energy"
"EXE","Expand Energy","Energy","119","15.77","15.77","15.77","3","3","0","40","","25.9","https://www.worldbenchmarkingalliance.org/company/expand-energy"
"RCL","Royal Caribbean Group","Consumer Discretionary","119","15.77","15.77","15.77","3","3","0","40","14.6","25.9","https://www.worldbenchmarkingalliance.org/company/royal-caribbean-group"
"MET","MetLife","Financials","121","15.75","15.75","15.75","3","3","0","60","","12.5","https://www.worldbenchmarkingalliance.org/company/metlife"
"PFE","Pfizer","Health Care","121","15.75","15.75","15.75","3","3","0","60","14","12.5","https://www.worldbenchmarkingalliance.org/company/pfizer"
"XEL","Xcel Energy","Utilities","121","15.75","15.75","15.75","3","3","0","60","","12.5","https://www.worldbenchmarkingalliance.org/company/xcel-energy"
"BBY","Best Buy","Consumer Discretionary","124","15.65","15.65","15.65","3","3","0","40","","25.5","https://www.worldbenchmarkingalliance.org/company/best-buy"
"MU","Micron Technology","Information Technology","124","15.65","15.65","15.65","3","3","0","40","","25.5","https://www.worldbenchmarkingalliance.org/company/micron-technology"
"PPG","PPG Industries","Materials","124","15.65","15.65","15.65","3","3","0","40","18.8","25.5","https://www.worldbenchmarkingalliance.org/company/ppg-industries"
"ETN","Eaton Corporation","Industrials","127","15.60","15.60","15.60","3","3","0","60","","12","https://www.worldbenchmarkingalliance.org/company/eaton"
"EOG","EOG Resources","Energy","128","15.50","15.50","15.50","3","3","0","40","","25","https://www.worldbenchmarkingalliance.org/company/eog-resources"
"CMCSA","Comcast","Communication Services","129","15.48","15.48","15.48","3","3","0","60","","11.6","https://www.worldbenchmarkingalliance.org/company/comcast"
"IBM","IBM","Information Technology","129","15.48","15.48","15.48","3","3","0","60","","11.6","https://www.worldbenchmarkingalliance.org/company/ibm"
"UBER","Uber","Industrials","131","15.18","15.18","15.18","3","3","0","60","","10.6","https://www.worldbenchmarkingalliance.org/company/uber"
"SJM","J.M. Smucker Company (The)","Consumer Staples","132","15.13","15.13","15.13","3","3","0","20","12","37.1","https://www.worldbenchmarkingalliance.org/company/jm-smucker"
"MMM","3M","Industrials","133","15.08","15.08","15.08","3","3","0","40","20.8","23.6","https://www.worldbenchmarkingalliance.org/company/3m"
"BIIB","Biogen","Health Care","133","15.08","15.08","15.08","3","3","0","40","16","23.6","https://www.worldbenchmarkingalliance.org/company/biogen"
"PFG","Principal Financial Group","Financials","135","14.98","14.98","14.98","3","3","0","20","","36.6","https://www.worldbenchmarkingalliance.org/company/principal-financial"
"TPR","Tapestry, Inc.","Consumer Discretionary","136","14.81","14.81","14.81","3","3","0","40","22.7","22.7","https://www.worldbenchmarkingalliance.org/company/tapestry"
"EBAY","eBay Inc.","Consumer Discretionary","137","14.79","14.79","14.79","3","3","0","60","","9.3","https://www.worldbenchmarkingalliance.org/company/ebay"
"GS","Goldman Sachs","Financials","138","14.49","14.49","14.49","3","3","0","60","","8.3","https://www.worldbenchmarkingalliance.org/company/goldman-sachs"
"WSM","Williams-Sonoma, Inc.","Consumer Discretionary","138","14.49","14.49","14.49","3","3","0","60","","8.3","https://www.worldbenchmarkingalliance.org/company/williams-sonoma"
"BNY","BNY Mellon","Financials","140","14.41","14.41","14.41","3","3","0","20","","34.7","https://www.worldbenchmarkingalliance.org/company/bny-mellon"
"BA","Boeing","Industrials","141","14.39","14.39","14.39","3","3","0","40","","21.3","https://www.worldbenchmarkingalliance.org/company/boeing"
"GOOGL/GOOG","Alphabet Inc. (Class A)","Communication Services","142","14.37","14.37","14.37","3","3","0","60","","7.9","https://www.worldbenchmarkingalliance.org/company/alphabet"
"D","Dominion Energy","Utilities","143","14.24","14.24","14.24","3","3","0","40","","20.8","https://www.worldbenchmarkingalliance.org/company/dominion-energy"
"TRGP","Targa Resources","Energy","144","14.14","14.14","14.14","3","3","0","20","","33.8","https://www.worldbenchmarkingalliance.org/company/targa-resources"
"GEV","GE Vernova","Industrials","145","14.12","14.12","14.12","3","3","0","40","9.9","20.4","https://www.worldbenchmarkingalliance.org/company/ge-vernova"
"UPS","United Parcel Service","Industrials","145","14.12","14.12","14.12","3","3","0","40","","20.4","https://www.worldbenchmarkingalliance.org/company/united-parcel-service"
"SPG","Simon Property Group","Real Estate","147","14.07","14.07","14.07","3","3","0","60","","6.9","https://www.worldbenchmarkingalliance.org/company/simon-property-group"
"TSLA","Tesla, Inc.","Consumer Discretionary","147","14.07","14.07","14.07","3","3","0","60","","6.9","https://www.worldbenchmarkingalliance.org/company/tesla"
"ADI","Analog Devices","Information Technology","149","13.82","13.82","13.82","3","3","0","40","","19.4","https://www.worldbenchmarkingalliance.org/company/analog-devices"
"PG","Procter & Gamble","Consumer Staples","149","13.82","13.82","13.82","3","3","0","40","14.1","19.4","https://www.worldbenchmarkingalliance.org/company/procter-gamble"
"WY","Weyerhaeuser","Real Estate","149","13.82","13.82","13.82","3","3","0","40","25.1","19.4","https://www.worldbenchmarkingalliance.org/company/weyerhaeuser"
"ULTA","Ulta Beauty","Consumer Discretionary","152","13.70","13.70","13.70","3","3","0","40","","19","https://www.worldbenchmarkingalliance.org/company/ulta-beauty"
"AMT","American Tower","Real Estate","153","13.68","13.68","13.68","3","3","0","60","","5.6","https://www.worldbenchmarkingalliance.org/company/american-tower"
"DLR","Digital Realty","Real Estate","153","13.68","13.68","13.68","3","3","0","60","","5.6","https://www.worldbenchmarkingalliance.org/company/digital-realty-trust"
"SO","Southern Company","Utilities","155","13.60","13.60","13.60","3","3","0","20","","32","https://www.worldbenchmarkingalliance.org/company/southern-co"
"DVN","Devon Energy","Energy","156","13.55","13.55","13.55","3","3","0","40","","18.5","https://www.worldbenchmarkingalliance.org/company/devon-energy"
"OXY","Occidental Petroleum","Energy","156","13.55","13.55","13.55","3","3","0","40","","18.5","https://www.worldbenchmarkingalliance.org/company/occidental-petroleum"
"WELL","Welltower","Real Estate","158","13.45","13.45","13.45","3","3","0","20","","31.5","https://www.worldbenchmarkingalliance.org/company/welltower"
"APA","APA Corporation","Energy","159","13.28","13.28","13.28","3","3","0","40","","17.6","https://www.worldbenchmarkingalliance.org/company/apa-corporation"
"DLTR","Dollar Tree","Consumer Staples","159","13.28","13.28","13.28","3","3","0","40","","17.6","https://www.worldbenchmarkingalliance.org/company/dollar-tree"
"NRG","NRG Energy","Utilities","161","13.03","13.03","13.03","3","3","0","20","","30.1","https://www.worldbenchmarkingalliance.org/company/nrg-energy"
"MNST","Monster Beverage","Consumer Staples","162","13.01","13.01","13.01","3","3","0","40","7.9","16.7","https://www.worldbenchmarkingalliance.org/company/monster-beverage"
"TROW","T. Rowe Price","Financials","163","12.86","12.86","12.86","3","3","0","40","","16.2","https://www.worldbenchmarkingalliance.org/company/t-rowe-price-group"
"YUM","Yum! Brands","Consumer Discretionary","164","12.71","12.71","12.71","3","3","0","40","16.9","15.7","https://www.worldbenchmarkingalliance.org/company/yum-brands"
"NTRS","Northern Trust","Financials","165","12.61","12.61","12.61","3","3","0","20","","28.7","https://www.worldbenchmarkingalliance.org/company/northern-trust"
"CB","Chubb Limited","Financials","166","12.59","12.59","12.59","3","3","0","40","","15.3","https://www.worldbenchmarkingalliance.org/company/chubb"
"CEG","Constellation Energy","Utilities","166","12.59","12.59","12.59","3","3","0","40","","15.3","https://www.worldbenchmarkingalliance.org/company/constellation-energy"
"ED","Consolidated Edison","Utilities","168","12.19","12.19","12.19","3","3","0","20","","27.3","https://www.worldbenchmarkingalliance.org/company/consolidated-edison"
"STZ","Constellation Brands","Consumer Staples","169","12.17","12.17","12.17","3","3","0","40","8.4","13.9","https://www.worldbenchmarkingalliance.org/company/constellation-brands"
"XOM","ExxonMobil","Energy","169","12.17","12.17","12.17","3","3","0","40","","13.9","https://www.worldbenchmarkingalliance.org/company/exxonmobil"
"RJF","Raymond James Financial","Financials","171","11.65","11.65","11.65","3","3","0","20","","25.5","https://www.worldbenchmarkingalliance.org/company/raymond-james-financial"
"T","AT&T","Communication Services","172","11.48","11.48","11.48","3","3","0","40","","11.6","https://www.worldbenchmarkingalliance.org/company/att"
"PPL","PPL Corporation","Utilities","172","11.48","11.48","11.48","3","3","0","40","","11.6","https://www.worldbenchmarkingalliance.org/company/ppl"
"AVGO","Broadcom","Information Technology","174","11.23","11.23","11.23","3","3","0","20","","24.1","https://www.worldbenchmarkingalliance.org/company/broadcom"
"MA","Mastercard","Financials","175","11.18","11.18","11.18","3","3","0","40","","10.6","https://www.worldbenchmarkingalliance.org/company/mastercard"
"PHM","PulteGroup","Consumer Discretionary","176","10.96","10.96","10.96","3","3","0","20","","23.2","https://www.worldbenchmarkingalliance.org/company/pultegroup"
"PSX","Phillips 66","Energy","177","10.91","10.91","10.91","3","3","0","40","","9.7","https://www.worldbenchmarkingalliance.org/company/phillips-66"
"USB","U.S. Bancorp","Financials","178","10.81","10.81","10.81","3","3","0","20","","22.7","https://www.worldbenchmarkingalliance.org/company/us-bancorp"
"WFC","Wells Fargo","Financials","178","10.81","10.81","10.81","3","3","0","20","","22.7","https://www.worldbenchmarkingalliance.org/company/wells-fargo"
"ROST","Ross Stores","Consumer Discretionary","180","10.79","10.79","10.79","3","3","0","40","5.4","9.3","https://www.worldbenchmarkingalliance.org/company/ross-stores"
"ABNB","Airbnb","Consumer Discretionary","181","10.39","10.39","10.39","3","3","0","20","","21.3","https://www.worldbenchmarkingalliance.org/company/airbnb"
"WEC","WEC Energy Group","Utilities","182","10.37","10.37","10.37","3","3","0","40","","7.9","https://www.worldbenchmarkingalliance.org/company/wec-energy-group"
"CFG","Citizens Financial Group","Financials","183","10.12","10.12","10.12","3","3","0","20","","20.4","https://www.worldbenchmarkingalliance.org/company/citizens-financial-group"
"NFLX","Netflix","Communication Services","184","10.10","10.10","10.10","3","3","0","40","","7","https://www.worldbenchmarkingalliance.org/company/netflix"
"AWK","American Water Works","Utilities","185","10.07","10.07","10.07","3","3","0","40","","6.9","https://www.worldbenchmarkingalliance.org/company/american-water-works"
"KEY","KeyCorp","Financials","186","9.55","9.55","9.55","3","3","0","20","","18.5","https://www.worldbenchmarkingalliance.org/company/keycorp"
